run_name,label,num_seeds,seeds,final_timestep,mean_final_reward,std_final_reward,mean_final_success_rate,std_final_success_rate,mean_final_episode_length,std_final_episode_length,first_success_timestep_mean_curve
progress_adrs,Adaptive Progression,10,0 1 2 3 4 5 6 7 8 9,10000,0.0,0.0,0.0,0.0,25.0,0.0,
hybrid_adrs,Adaptive Hybrid,10,0 1 2 3 4 5 6 7 8 9,10000,0.12157665459056935,0.0,0.0,0.0,25.0,0.0,
hybrid,Hybrid,10,0 1 2 3 4 5 6 7 8 9,10000,0.02431533091811387,0.048630661836227745,0.0,0.0,25.0,0.0,
progress,Progress,10,0 1 2 3 4 5 6 7 8 9,10000,0.0,0.0,0.0,0.0,25.0,0.0,
